fips,county_name,total_population,pop_under18,pop_over65,median_age
44003,"Kent County, Rhode Island",163861,31256,29628,43.8
44005,"Newport County, Rhode Island",83075,14521,17350,45
44007,"Providence County, Rhode Island",634533,131959,93384,37.3
44009,"Washington County, Rhode Island",126242,21752,24442,44.5
45001,"Abbeville County, South Carolina",24657,5164,5066,43.8
45003,"Aiken County, South Carolina",166926,36645,30578,41
45005,"Allendale County, South Carolina",9214,1750,1691,40.2
45007,"Anderson County, South Carolina",195995,45273,34228,40.7
45009,"Bamberg County, South Carolina",14600,2967,2962,41.9
45011,"Barnwell County, South Carolina",21577,5275,3699,40.9
45013,"Beaufort County, South Carolina",182658,35271,46932,44.8
45015,"Berkeley County, South Carolina",209065,50532,27136,36
45017,"Calhoun County, South Carolina",14713,2903,3182,46
45019,"Charleston County, South Carolina",394708,78615,60929,37.6
45021,"Cherokee County, South Carolina",56711,13260,9101,38.7
45023,"Chester County, South Carolina",32326,7398,5738,41.5
45025,"Chesterfield County, South Carolina",46024,10351,7930,42.3
45027,"Clarendon County, South Carolina",34017,6750,7439,44.3
45029,"Colleton County, South Carolina",37568,8488,7228,42.2
45031,"Darlington County, South Carolina",67253,15238,11912,41.4
45033,"Dillon County, South Carolina",30871,7937,4802,37.5
45035,"Dorchester County, South Carolina",155474,38730,20356,36.5
45037,"Edgefield County, South Carolina",26769,4951,4769,42.7
45039,"Fairfield County, South Carolina",22712,4484,4472,46.4
45041,"Florence County, South Carolina",138561,33224,22029,39
45043,"Georgetown County, South Carolina",61605,11797,16111,49.2
45045,"Greenville County, South Carolina",498402,116234,74825,38.1
45047,"Greenwood County, South Carolina",70264,16144,12435,39.4
45049,"Hampton County, South Carolina",19807,4346,3485,39.7
45051,"Horry County, South Carolina",320915,59937,71237,45.2
45053,"Jasper County, South Carolina",27900,5905,4761,39.5
45055,"Kershaw County, South Carolina",64361,15016,11340,41.7
45057,"Lancaster County, South Carolina",89546,19609,18004,42
45059,"Laurens County, South Carolina",66710,14708,11730,41.1
45061,"Lee County, South Carolina",17606,3601,3055,41.9
45063,"Lexington County, South Carolina",286316,67051,42994,39
45065,"McCormick County, South Carolina",9606,1193,3103,53.9
45067,"Marion County, South Carolina",31562,7307,5787,40.4
45069,"Marlboro County, South Carolina",27131,5530,4540,40.3
45071,"Newberry County, South Carolina",38068,8439,7122,41.5
45073,"Oconee County, South Carolina",76696,15507,17204,45.3
45075,"Orangeburg County, South Carolina",88454,19672,16249,39.6
45077,"Pickens County, South Carolina",122746,23689,19478,36.2
45079,"Richland County, South Carolina",408263,88281,48691,33.2
45081,"Saluda County, South Carolina",20299,4462,3818,41.9
45083,"Spartanburg County, South Carolina",302195,70456,47462,38.2
45085,"Sumter County, South Carolina",106995,26008,16592,36.3
45087,"Union County, South Carolina",27644,5945,5353,43.8
45089,"Williamsburg County, South Carolina",31794,6813,6103,42.1
45091,"York County, South Carolina",258641,63395,35425,38.5
46003,"Aurora County, South Dakota",2759,761,539,38.3
46005,"Beadle County, South Dakota",18374,4869,3041,37.3
46007,"Bennett County, South Dakota",3437,1222,396,29
46009,"Bon Homme County, South Dakota",6969,1335,1453,42.8
46011,"Brookings County, South Dakota",34239,6944,3823,26.7
