,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
279,2020-03-08,1,0,36103,2020-05-07,35892.0,1599.0,2020-05-17,38117.0,1799.0,2020-05-27,39258.0,1910.0,281,1497595,326104,548500,172968,85628,1619.4232899,1476601,0.442614907626,0.524840184108,7.3,322908,239139,1487901,41.3
282,2020-03-08,1,0,36111,2020-05-07,1416.0,27.0,2020-05-17,1552.0,42.0,2020-05-27,1645.0,45.0,25,180129,45203,55761,27571,12261,157.94992078,177573,0.518707703477,0.427334249488,14.3,32420,33335,179303,43.7
285,2020-03-08,1,0,41019,2020-05-07,24.0,0.0,2020-05-17,25.0,0.0,2020-05-27,25.0,0.0,32,107576,35360,35686,2827,2002,22.038774258000004,110980,0.270516066212,0.664303797468,15.0,21045,26671,108323,47.0
288,2020-03-08,1,0,41047,2020-05-07,613.0,21.0,2020-05-17,827.0,23.0,2020-05-27,920.0,25.0,68,330453,68700,107484,27187,33410,294.62141393,347818,0.440444388289,0.4903794086860001,14.5,84092,50268,335553,36.4
291,2020-03-08,1,0,34031,2020-05-07,14133.0,703.0,2020-05-17,15205.0,838.0,2020-05-27,15873.0,899.0,97,510563,98279,104794,120448,79428,2697.8238848,501826,0.595497596497,0.378045362482,13.6,121021,70281,504041,37.0
294,2020-03-08,1,0,27019,2020-05-07,58.0,0.0,2020-05-17,113.0,2.0,2020-05-27,185.0,2.0,25,98799,15454,20578,30997,19578,296.69689409,105089,0.39033065950400003,0.527331131356,3.8,27382,10962,100416,37.5
297,2020-03-08,1,0,25027,2020-05-07,7197.0,385.0,2020-05-17,9252.0,569.0,2020-05-27,10647.0,716.0,169,818249,170081,280406,114917,63512,549.84556659,830622,0.5174291024009999,0.412466008001,9.0,176734,122402,822280,40.1
300,2020-03-08,1,0,53035,2020-05-07,154.0,2.0,2020-05-17,159.0,2.0,2020-05-27,161.0,2.0,20,258903,59433,95235,22252,11747,687.05358709,271473,0.510524762908,0.394200210748,9.1,54365,44246,262475,39.0
303,2020-03-08,1,0,47157,2020-05-07,3066.0,64.0,2020-05-17,3726.0,85.0,2020-05-27,4615.0,105.0,277,937847,169553,394448,24184,100530,1227.3643539999996,937166,0.622670334869,0.34637393366499997,21.7,236247,118566,937005,35.4
306,2020-03-08,1,0,47037,2020-05-07,3432.0,35.0,2020-05-17,4132.0,44.0,2020-05-27,5068.0,60.0,614,678322,113356,274809,59608,160867,1378.7692334,694144,0.603060938509,0.34266995398,15.4,145490,79891,684017,34.3
309,2020-03-08,1,0,45083,2020-05-07,325.0,12.0,2020-05-17,399.0,13.0,2020-05-27,529.0,19.0,39,297732,63159,97703,27260,33712,395.89874684,319785,0.330217810635,0.630011672862,13.6,70456,47462,302195,38.2
312,2020-03-08,1,0,9001,2020-05-07,12679.0,977.0,2020-05-17,14248.0,1146.0,2020-05-27,15314.0,1242.0,173,947328,197334,353280,99708,114321,1509.4086275,943332,0.5818552740940001,0.378905574012,10.0,216907,143419,944348,40.3
